Date,Open,High,Low,Close,Adj Close,Volum
2019-11-07,35.540001,35.650002,35.270000,35.369999,29.980980,385300
2019-11-08,35.790001,35.790001,34.529999,34.900002,29.582594,204933
2019-11-11,35.400002,35.400002,34.070000,34.070000,28.879051,207558
2019-11-12,34.410000,34.950001,34.090000,34.340000,29.107914,177035
2019-11-13,34.279999,34.919998,33.779999,34.240002,29.023153,239101
2019-11-14,34.040001,34.599998,33.580002,34.000000,28.819719,353548
2019-11-15,34.369999,34.490002,33.790001,34.020000,28.836672,169346
2019-11-18,34.070000,34.279999,33.500000,34.200001,28.989250,157521
2019-11-19,34.110001,34.660000,33.830002,34.130001,28.929911,147241
2019-11-20,33.869999,33.980000,33.419998,33.419998,28.328085,160893
2019-11-21,33.360001,34.584549,32.700001,33.150002,28.099226,502673
2019-11-22,33.160000,34.000000,33.160000,33.639999,28.514566,176752
2019-11-25,33.240002,34.000000,33.240002,33.799999,28.650188,362014
2019-11-26,33.840000,33.840000,33.119999,33.500000,28.395899,623916
2019-11-27,33.500000,33.599998,32.990002,33.400002,28.311136,171685
2019-11-28,33.110001,33.285561,32.799999,32.830002,27.827984,79203
2019-11-29,32.750000,33.389999,32.720001,33.200001,28.141607,137368
2019-12-02,33.250000,33.250000,32.220001,32.220001,27.310923,194152
2019-12-03,32.220001,32.840000,31.830000,31.900000,27.039677,170309
2019-12-04,31.980000,32.380001,31.820000,32.200001,27.293966,276505
2019-12-05,32.270000,32.389999,31.930000,32.180000,27.277016,237911
2019-12-06,32.330002,32.759998,32.169998,32.720001,27.734739,65099
2019-12-09,32.910000,33.299999,32.439999,33.250000,28.183987,244154
2019-12-10,33.250000,33.560001,32.849998,33.410000,28.319611,190363
2019-12-11,33.500000,34.619999,33.500000,34.500000,29.243536,289965
2019-12-12,34.889999,35.900002,34.849998,35.750000,30.303087,511640
2019-12-13,35.480000,35.910000,35.209999,35.209999,29.845360,901509
2019-12-16,35.070000,35.610001,34.430000,34.639999,29.362207,559639
2019-12-17,34.500000,35.349998,34.130001,34.450001,29.201157,440458
2019-12-18,35.090000,35.090000,34.070000,34.209999,28.997721,266310
2019-12-19,34.220001,34.900002,33.410000,33.610001,28.489138,278535
2019-12-20,33.660000,33.840000,33.099998,33.500000,28.395899,421358
2019-12-23,33.500000,34.160000,33.490002,33.900002,28.734957,127328
2019-12-24,34.849998,34.849998,33.860001,33.910000,28.743429,16325
2019-12-27,34.299999,34.459999,33.810001,34.310001,29.082487,193686
2019-12-30,33.889999,34.630001,33.889999,34.630001,29.353731,96716
2019-12-31,34.410000,34.660000,33.709999,34.500000,29.243536,58084
2020-01-02,34.849998,35.000000,34.430000,34.590000,29.319824,80492
2020-01-03,35.290001,35.290001,33.919998,34.279999,29.057055,145142
2020-01-06,33.810001,34.299999,33.230000,34.299999,29.074009,109564
2020-01-07,33.619999,34.450001,33.619999,33.860001,28.701046,78779
2020-01-08,33.900002,34.240002,33.840000,34.060001,28.870577,124336
2020-01-09,34.560001,35.250000,34.160000,35.139999,29.786028,188286
2020-01-10,34.700001,36.020000,34.560001,35.959999,30.481091,610734
2020-01-13,35.820000,36.000000,35.099998,35.860001,30.396324,150622
2020-01-14,35.299999,36.090000,34.660000,34.900002,29.582594,405450
2020-01-15,35.500000,35.500000,33.700001,33.700001,28.565426,431283
2020-01-16,34.290001,34.290001,33.720001,33.720001,28.582382,501997
2020-01-17,34.169998,34.490002,33.900002,34.490002,29.235062,246879
2020-01-20,34.410000,34.450001,33.770000,33.820000,28.667143,346060
2020-01-21,33.820000,34.110001,33.299999,33.950001,28.777336,505361
2020-01-22,34.020000,35.040001,34.009998,35.000000,29.667356,753979
2020-01-23,34.360001,35.040001,34.360001,34.950001,29.624973,362715
2020-01-24,34.770000,35.500000,34.320000,35.500000,30.091173,350213
2020-01-27,34.900002,35.450001,34.830002,35.389999,29.997936,415223
2020-01-28,35.119999,35.599998,35.040001,35.500000,30.091173,418307
2020-01-29,35.099998,36.320000,34.959999,36.320000,30.786240,400338
2020-01-30,35.860001,37.400002,35.860001,37.200001,31.532162,405919
2020-01-31,37.240002,37.570000,36.529999,36.730000,31.133770,439679
2020-02-03,37.009998,37.349998,36.389999,37.000000,31.362637,366002
2020-02-04,37.049999,37.240002,36.480000,37.000000,31.362637,497891
2020-02-05,36.480000,36.990002,36.099998,36.490002,30.930340,440611
2020-02-06,36.400002,36.490002,35.599998,36.000000,30.514997,267922
2020-02-07,35.349998,35.700001,34.720001,34.840000,29.531736,209100
2020-02-10,34.869999,34.869999,33.799999,34.060001,28.870577,189500
2020-02-11,34.750000,35.000000,33.759998,34.139999,28.938387,553802
2020-02-12,34.250000,35.695000,33.730000,34.349998,29.116388,406009
2020-02-13,34.209999,34.490002,33.900002,34.259998,29.040104,272239
2020-02-14,34.320000,34.360001,33.610001,33.610001,28.489138,553030
2020-02-17,33.740002,34.320000,33.709999,34.299999,29.074009,267138
2020-02-18,33.799999,34.340000,33.680000,34.009998,28.828190,307054
2020-02-19,34.060001,35.459999,34.060001,35.400002,30.006413,366341
2020-02-20,35.500000,35.570000,34.900002,34.930000,29.608023,325256
2020-02-21,34.779999,35.439999,34.599998,35.200001,29.836884,182779
2020-02-24,34.540001,35.000000,33.639999,33.750000,28.607809,245160
2020-02-25,33.750000,34.259998,32.750000,32.939999,27.921221,313589
2020-02-26,32.599998,33.950001,32.180000,33.349998,28.268751,306652
2020-02-27,33.169998,33.169998,31.450001,31.910000,27.048153,473479
2020-02-28,28.450001,31.879999,28.450001,31.150000,26.403948,1158355
2020-03-02,31.900000,32.639999,30.120001,30.930000,26.217466,961300
2020-03-03,31.629999,32.150002,30.799999,31.889999,27.031200,268687
2020-03-04,31.400000,32.099998,31.180000,31.570000,26.759956,385920
2020-03-05,31.740000,31.959999,31.420000,31.670000,26.844721,341509
2020-03-06,31.000000,31.080000,29.209999,29.469999,24.979914,336234
2020-03-09,21.000000,25.709999,21.000000,24.280001,20.580669,871305
2020-03-10,24.920000,27.370001,24.920000,26.000000,22.038607,990328
2020-03-11,26.230000,26.280001,25.500000,25.570000,21.674122,362601
2020-03-12,23.620001,24.860001,21.750000,22.030001,18.673483,773148
2020-03-13,22.400000,25.250000,22.350000,24.420000,20.699339,557553
2020-03-16,24.590000,24.590000,22.840000,23.870001,20.233139,518684
2020-03-17,24.350000,24.600000,21.750000,22.930000,19.436356,821885
2020-03-18,22.240000,23.580000,20.330000,20.459999,17.342688,535603
2020-03-19,22.490000,22.799999,21.000000,22.049999,18.690432,860922
2020-03-20,22.610001,26.230000,22.540001,24.000000,20.343330,762072
2020-03-23,23.389999,26.620001,22.860001,25.950001,21.996225,576091
2020-03-24,27.980000,28.570000,25.480000,25.540001,21.648693,796400
2020-03-25,27.280001,27.309999,23.940001,25.270000,21.419830,476897
2020-03-26,24.750000,26.309999,24.170000,25.700001,21.784317,632475
2020-03-27,25.530001,25.590000,24.719999,25.080000,21.258781,414688
2020-03-30,24.840000,25.490000,24.629999,25.350000,21.487642,411732
2020-03-31,25.809999,27.170000,24.840000,27.000000,22.886246,538263
2020-04-01,26.000000,27.360001,25.799999,26.799999,22.716719,349791
2020-04-02,27.340000,28.260000,26.780001,27.760000,23.530451,260115
2020-04-03,27.500000,29.240000,27.240000,28.900000,24.496761,410569
2020-04-06,29.480000,30.780001,29.459999,30.760000,26.073368,350438
2020-04-07,31.219999,32.160000,29.320000,29.400000,24.920580,463869
2020-04-08,29.340000,30.240000,28.740000,29.980000,25.412210,407841
2020-04-09,30.559999,31.040001,30.100000,30.559999,25.903839,303724
2020-04-14,30.080000,30.280001,28.900000,29.639999,25.124012,537443
2020-04-15,29.520000,29.700001,27.760000,27.840000,23.598265,521338
2020-04-16,28.500000,29.260000,27.860001,29.059999,24.632381,425940
2020-04-17,29.840000,29.900000,28.520000,28.520000,24.174658,276658
2020-04-20,28.620001,28.760000,27.799999,28.000000,23.733885,197108
2020-04-21,27.059999,27.879999,26.840000,27.719999,23.496546,292571
2020-04-22,27.700001,29.360001,27.660000,28.840000,24.445902,334594
2020-04-23,29.400000,29.920000,29.139999,29.900000,25.344398,225831
2020-04-24,29.400000,29.700001,28.459999,28.780001,24.395046,294307
2020-04-27,29.120001,29.559999,28.959999,29.020000,24.598476,89056
2020-04-28,29.219999,30.299999,29.160000,29.280001,24.818863,322560
2020-04-29,29.680000,30.040001,29.540001,29.980000,25.412210,96032
2020-04-30,30.139999,30.360001,29.519409,29.520000,25.022295,245252
2020-05-01,29.580000,29.740000,28.980000,29.240000,24.784956,41723
2020-05-04,28.920000,29.379999,28.580000,29.280001,24.818863,193094
2020-05-05,29.559999,30.080000,29.500000,29.799999,25.259632,147717
2020-05-06,29.700001,29.719999,28.559999,28.780001,24.395046,208394
2020-05-07,29.000000,30.340000,28.860001,30.299999,25.683455,319333
2020-05-11,29.860001,31.200001,29.799999,30.200001,25.598690,108246
2020-05-12,30.400000,30.700001,30.160000,30.600000,25.937746,125117
2020-05-13,30.040001,30.500000,29.580000,30.000000,25.429161,198980
2020-05-14,30.059999,30.139999,29.280001,29.760000,25.225729,394073
2020-05-15,30.180000,30.559999,29.160000,29.200001,24.751053,206044
2020-05-18,29.580000,30.400000,29.580000,30.139999,25.547832,141714
2020-05-19,30.520000,30.639999,29.920000,29.940001,25.378305,191160
2020-05-20,30.000000,30.639999,29.900000,30.500000,25.852982,365001
2020-05-21,30.580000,31.120001,30.580000,30.860001,26.158134,217142
2020-05-22,30.500000,30.820000,30.299999,30.660000,25.988605,199705
2020-05-26,31.260000,31.580000,31.020000,31.200001,26.446329,382760
2020-05-27,31.280001,31.540001,30.780001,31.360001,26.581951,245287
2020-05-28,30.240000,30.879999,30.240000,30.639999,27.360209,287039
2020-05-29,30.700001,30.840000,29.360001,29.360001,26.217224,885698
2020-06-01,29.959999,30.500000,29.760000,30.459999,27.199474,112901
2020-06-02,30.620001,31.580000,30.580000,31.559999,28.181728,179620
2020-06-03,31.940001,31.940001,31.000000,31.120001,27.788828,226372
2020-06-04,31.120001,31.400000,30.160000,30.639999,27.360209,233453
2020-06-05,30.959999,31.480000,30.520000,31.340000,27.985277,358346
2020-06-08,31.120001,31.280001,30.780001,31.000000,27.681673,142842
2020-06-09,31.000000,31.100000,29.840000,30.320000,27.074461,224102
2020-06-10,30.219999,32.040001,30.120001,31.900000,28.485332,574001
2020-06-11,31.660000,34.799999,31.419491,33.599998,30.003361,755661
2020-06-12,32.020000,35.660000,32.020000,35.000000,31.253502,423841
