Date,Open,High,Low,Close,Adj Close,Volume
2019-11-07,34.400002,34.549999,33.959999,34.070000,34.070000,1887100
2019-11-08,33.959999,34.369999,33.860001,34.160000,34.160000,1659200
2019-11-11,33.959999,34.459999,33.820000,34.230000,34.230000,1093000
2019-11-12,33.970001,34.160000,33.700001,33.869999,33.869999,1346700
2019-11-13,33.750000,33.950001,33.619999,33.880001,33.880001,1195200
2019-11-14,34.009998,34.599998,33.840000,34.560001,34.560001,1782000
2019-11-15,34.700001,36.000000,34.700001,35.790001,35.790001,4712300
2019-11-18,38.130001,40.310001,38.099998,40.070000,40.070000,16519900
2019-11-19,39.360001,39.660000,39.169998,39.430000,39.430000,4841000
2019-11-20,38.970001,40.220001,38.799999,40.150002,40.150002,2712900
2019-11-21,40.080002,40.189999,39.669998,40.090000,40.090000,2598000
2019-11-22,40.180000,40.689999,40.009998,40.459999,40.459999,1754400
2019-11-25,40.369999,41.480000,40.369999,41.070000,41.070000,2125500
2019-11-26,41.320000,41.599998,40.790001,41.470001,41.470001,2386800
2019-11-27,41.340000,41.910000,41.340000,41.810001,41.810001,1629500
2019-11-29,41.340000,42.099998,41.330002,41.970001,41.970001,1990200
2019-12-02,42.240002,42.250000,40.720001,41.119999,41.119999,2322900
2019-12-03,40.520000,40.630001,40.220001,40.610001,40.610001,2612600
2019-12-04,41.169998,41.169998,40.369999,40.410000,40.410000,1214500
2019-12-05,40.450001,40.490002,39.980000,40.230000,40.230000,1599100
2019-12-06,40.320000,40.529999,40.209999,40.459999,40.459999,876200
2019-12-09,40.220001,40.730000,40.220001,40.320000,40.320000,909800
2019-12-10,40.310001,40.830002,40.220001,40.459999,40.459999,954000
2019-12-11,40.680000,41.500000,40.660000,41.459999,41.459999,4750800
2019-12-12,41.790001,42.009998,41.529999,41.750000,41.750000,2668500
2019-12-13,41.700001,43.250000,41.639999,43.250000,43.250000,6440600
2019-12-16,43.020000,43.529999,42.759998,42.840000,42.840000,3822100
2019-12-17,42.830002,42.840000,41.880001,41.939999,41.939999,1823000
2019-12-18,42.250000,42.320000,41.750000,41.959999,41.959999,2008500
2019-12-19,42.220001,42.980000,41.880001,42.720001,42.720001,2978600
2019-12-20,43.099998,43.459999,42.689999,43.160000,43.160000,2037400
2019-12-23,43.360001,43.840000,43.090000,43.580002,43.580002,1243900
2019-12-24,43.549999,43.689999,43.230000,43.669998,43.669998,451200
2019-12-26,43.630001,43.889999,43.439999,43.730000,43.730000,748100
2019-12-27,44.099998,44.279999,43.660000,43.900002,43.900002,1265800
2019-12-30,43.930000,43.970001,43.080002,43.439999,43.439999,893400
2019-12-31,43.180000,43.619999,43.169998,43.490002,43.490002,562100
2020-01-02,43.830002,44.209999,43.590000,44.080002,44.080002,973900
2020-01-03,43.400002,43.770000,43.000000,43.209999,43.209999,1399100
2020-01-06,43.119999,43.299999,42.830002,43.099998,43.099998,1161500
2020-01-07,43.169998,43.430000,42.849998,43.169998,43.169998,1265800
2020-01-08,43.360001,44.060001,43.270000,43.770000,43.770000,1335900
2020-01-09,44.410000,44.770000,44.139999,44.540001,44.540001,2161400
2020-01-10,44.700001,44.830002,43.810001,44.060001,44.060001,1392700
2020-01-13,44.459999,44.459999,43.869999,44.299999,44.299999,1932800
2020-01-14,44.299999,44.669998,43.240002,43.529999,43.529999,1610200
2020-01-15,43.799999,43.980000,43.189999,43.230000,43.230000,1549300
2020-01-16,44.779999,44.820000,43.639999,44.130001,44.130001,2613000
2020-01-17,44.630001,45.459999,44.340000,45.400002,45.400002,3327500
2020-01-21,45.009998,45.160000,44.580002,45.049999,45.049999,2243900
2020-01-22,44.259998,45.770000,44.240002,45.360001,45.360001,2425600
2020-01-23,45.040001,45.599998,44.430000,44.900002,44.900002,1683800
2020-01-24,45.200001,45.630001,44.959999,45.380001,45.380001,2106600
2020-01-27,43.740002,44.959999,43.630001,44.570000,44.570000,2299600
2020-01-28,44.669998,45.619999,44.169998,45.570000,45.570000,2199700
2020-01-29,45.759998,46.580002,45.500000,46.110001,46.110001,3546600
2020-01-30,45.410000,45.950001,45.299999,45.900002,45.900002,1675700
2020-01-31,45.500000,45.549999,44.590000,44.810001,44.810001,2696500
2020-02-03,45.270000,46.020000,45.090000,46.000000,46.000000,1614900
2020-02-04,47.259998,48.189999,46.820000,48.009998,48.009998,3701400
2020-02-05,48.759998,48.820000,47.599998,48.250000,48.250000,2564000
2020-02-06,47.919998,48.320000,47.650002,48.200001,48.200001,1885500
2020-02-07,48.209999,48.680000,48.009998,48.490002,48.490002,1719200
2020-02-10,48.209999,48.230000,47.840000,48.049999,48.049999,2440800
2020-02-11,48.599998,48.730000,47.959999,48.270000,48.270000,2229400
